"trope","word","loglikelihood","totalTropeDialogue"
"Black Widow","procedure",7.82918165811293,11
"Black Widow","quarantine",7.82918165811293,11
"Black Widow","breach",7.82918165811293,11
"Black Widow","occur",7.82918165811293,11
"Dropped a Bridge on Her","program",7.82918165811293,11
"Dropped a Bridge on Her","administrate",7.82918165811293,11
"Dropped a Bridge on Her","containment",7.82918165811293,11
"Dropped a Bridge on Her","procedure",7.82918165811293,11
"Dropped a Bridge on Her","quarantine",7.82918165811293,11
"Dropped a Bridge on Her","breach",7.82918165811293,11
"Dropped a Bridge on Her","occur",7.82918165811293,11
"Has a Type","program",7.82918165811293,11
"Has a Type","administrate",7.82918165811293,11
"Has a Type","containment",7.82918165811293,11
"Has a Type","procedure",7.82918165811293,11
"Has a Type","quarantine",7.82918165811293,11
"Has a Type","breach",7.82918165811293,11
"Has a Type","occur",7.82918165811293,11
"Hipster","program",7.82918165811293,11
"Hipster","administrate",7.82918165811293,11
"Hipster","containment",7.82918165811293,11
"Hipster","procedure",7.82918165811293,11
"Hipster","quarantine",7.82918165811293,11
"Hipster","breach",7.82918165811293,11
"Hipster","occur",7.82918165811293,11
"High on Homicide","program",7.82918165811293,11
"High on Homicide","administrate",7.82918165811293,11
"High on Homicide","containment",7.82918165811293,11
"High on Homicide","procedure",7.82918165811293,11
"High on Homicide","quarantine",7.82918165811293,11
"High on Homicide","breach",7.82918165811293,11
"High on Homicide","occur",7.82918165811293,11
"Lesbian Vampire","program",7.82918165811293,11
"Lesbian Vampire","administrate",7.82918165811293,11
"Lesbian Vampire","containment",7.82918165811293,11
"Lesbian Vampire","procedure",7.82918165811293,11
"Lesbian Vampire","quarantine",7.82918165811293,11
"Lesbian Vampire","breach",7.82918165811293,11
"Lesbian Vampire","occur",7.82918165811293,11
"Locked Away in a Monastery","program",7.82918165811293,11
"Locked Away in a Monastery","administrate",7.82918165811293,11
"Locked Away in a Monastery","containment",7.82918165811293,11
"Locked Away in a Monastery","procedure",7.82918165811293,11
"Locked Away in a Monastery","quarantine",7.82918165811293,11
"Locked Away in a Monastery","breach",7.82918165811293,11
"Locked Away in a Monastery","occur",7.82918165811293,11
"Master Actress","program",7.82918165811293,11
"Master Actress","administrate",7.82918165811293,11
"Master Actress","containment",7.82918165811293,11
"Master Actress","procedure",7.82918165811293,11
"Master Actress","quarantine",7.82918165811293,11
"Master Actress","breach",7.82918165811293,11
"Master Actress","occur",7.82918165811293,11
"Out with a Bang","program",7.82918165811293,11
"Out with a Bang","administrate",7.82918165811293,11
"Out with a Bang","containment",7.82918165811293,11
"Out with a Bang","procedure",7.82918165811293,11
"Out with a Bang","quarantine",7.82918165811293,11
"Out with a Bang","breach",7.82918165811293,11
"Out with a Bang","occur",7.82918165811293,11
"Patchwork Kids","program",7.82918165811293,11
"Patchwork Kids","administrate",7.82918165811293,11
"Patchwork Kids","containment",7.82918165811293,11
"Patchwork Kids","procedure",7.82918165811293,11
"Patchwork Kids","quarantine",7.82918165811293,11
"Patchwork Kids","breach",7.82918165811293,11
"Patchwork Kids","occur",7.82918165811293,11
"Playing the Victim Card","program",7.82918165811293,11
"Playing the Victim Card","administrate",7.82918165811293,11
"Playing the Victim Card","containment",7.82918165811293,11
"Playing the Victim Card","procedure",7.82918165811293,11
"Playing the Victim Card","quarantine",7.82918165811293,11
"Playing the Victim Card","breach",7.82918165811293,11
"Playing the Victim Card","occur",7.82918165811293,11
"Schmuck Bait","program",7.82918165811293,11
"Schmuck Bait","administrate",7.82918165811293,11
"Schmuck Bait","containment",7.82918165811293,11
"Schmuck Bait","procedure",7.82918165811293,11
"Schmuck Bait","quarantine",7.82918165811293,11
"Schmuck Bait","breach",7.82918165811293,11
"Schmuck Bait","occur",7.82918165811293,11
"Succubi and Incubi","program",7.82918165811293,11
"Succubi and Incubi","administrate",7.82918165811293,11
"Succubi and Incubi","containment",7.82918165811293,11
"Succubi and Incubi","procedure",7.82918165811293,11
"Succubi and Incubi","quarantine",7.82918165811293,11
"Succubi and Incubi","breach",7.82918165811293,11
"Succubi and Incubi","occur",7.82918165811293,11
"Klingon Promotion","after",7.8291697220501,136
"Funny Background Event","panicking",7.82913231169068,33
"Sympathy for the Devil","be",7.8290809015392,502
"Evil Uncle","fall",7.82906790390775,77
"Sexy Backless Outfit","quest",7.82906790390775,77
"Status Buff","aw",7.82906790390775,77
"Apron Matron","he",7.82694648638975,29
"My Species Doth Protest Too Much","rifle",7.8268830694264,197
"Senseless Sacrifice","colony",7.82674713985895,280
"Dissonant Serenity","here",7.82651529904626,110
"Shoulders of Doom","nobody",7.82650512775832,40
"Heroes Love Dogs","interceptor",7.82647901456632,56
"Failed a Spot Check","say",7.82579896217235,47
"Death Glare","few",7.8255545175931,94
"Stuff Blowing Up","thank",7.82528893135457,53
"Innocent Bigot","copy",7.82469309268832,15
"Sickeningly Sweethearts","copy",7.82469309268832,15
"Like a Son to Me","under",7.82459499782024,71
"Every Scar Has a Story","together",7.8239676564819,7
"Large Runt","together",7.8239676564819,7
"Last Disc Magic","together",7.8239676564819,7
"Our Founder","together",7.8239676564819,7
"Roundhouse Kick","together",7.8239676564819,7
"Sheathe Your Sword","together",7.8239676564819,7
"Secret Secret-Keeper","together",7.8239676564819,7
"Intrepid Reporter","could",7.82300949930227,68
"Likes Older Women","safety",7.82280485392483,26
"Improbable Piloting Skills","aye",7.82280485392483,26
"Affably Evil","chapter",7.82275444776013,593
"Affably Evil","alter",7.82275444776013,593
"In the Hood","item",7.82270790338566,130
"Spirit Advisor","PROPN",7.82119612278376,134
"Robot Master","reward",7.82089085550075,55
"Declaration of Protection","aught",7.82089085550075,55
"Katanas Are Just Better","trial",7.82084958783201,97
"Katanas Are Just Better","tall",7.82084958783201,97
"Kid Sidekick","ya",7.82084958783201,97
"Slouch of Villainy","shop",7.82052339675636,184
"Hero-Worshipper","fair",7.82052339675636,184
"Hero-Worshipper","blitzball",7.82052339675636,184
"Hero-Worshipper","season",7.82052339675636,184
"Joker Immunity","these",7.82023068684809,69
"Power Glows","win",7.81981098417548,34
"Bare Midriffs Are Feminine","pass",7.81981098417548,34
"Cynical Mentor","surprised",7.81902407694142,60
"Cynical Mentor","shadow",7.81902407694142,60
"Martial Pacifist","within",7.81902407694142,60
"Miles Gloriosus","wow",7.81902407694142,60
"Barred from the Afterlife","haw",7.81866872650517,49
"Barred from the Afterlife","juice",7.81866872650517,49
"Barred from the Afterlife","react",7.81866872650517,49
"Evilutionary Biologist","haw",7.81866872650517,49
"Evilutionary Biologist","juice",7.81866872650517,49
"Evilutionary Biologist","react",7.81866872650517,49
"Please, Don't Leave Me","speech",7.81799887836212,13
"Young and in Charge","speech",7.81799887836212,13
"Digging Yourself Deeper","speech",7.81799887836212,13
"Appropriated Appellation","speech",7.81799887836212,13
"Back Stab","speech",7.81799887836212,13
"Bearer of Bad News","speech",7.81799887836212,13
"Big Red Button","speech",7.81799887836212,13
"Bubble Girl","speech",7.81799887836212,13
"But I Would Really Enjoy It","speech",7.81799887836212,13
"Can't Hold Her Liquor","speech",7.81799887836212,13
"Clingy Costume","speech",7.81799887836212,13
"Cooldown Hug","speech",7.81799887836212,13
"Dating What Daddy Hates","speech",7.81799887836212,13
"Deathly Unmasking","speech",7.81799887836212,13
"Expository Hoodstyle Change","speech",7.81799887836212,13
"Hack Your Enemy","speech",7.81799887836212,13
"Hand Signals","speech",7.81799887836212,13
"Holding Hands","speech",7.81799887836212,13
"I Can Live With That","speech",7.81799887836212,13
"The Immodest Orgasm","speech",7.81799887836212,13
"Info Dump","speech",7.81799887836212,13
"It's Quiet… Too Quiet","speech",7.81799887836212,13
"Latex Space Suit","speech",7.81799887836212,13
"Life Imitates Art","speech",7.81799887836212,13
"Love Martyr","speech",7.81799887836212,13
"Ludicrous Precision","speech",7.81799887836212,13
"Mildly Military","speech",7.81799887836212,13
"The Movie Buff","speech",7.81799887836212,13
"Must Not Die a Virgin","speech",7.81799887836212,13
"Mysterious Veil","speech",7.81799887836212,13
"Orgasmic Combat","speech",7.81799887836212,13
"Pardon My Klingon","speech",7.81799887836212,13
"Pop-Cultural Osmosis Failure","speech",7.81799887836212,13
"Powered Armour","speech",7.81799887836212,13
"Reassignment Backfire","speech",7.81799887836212,13
"Set a Mook to Kill a Mook","speech",7.81799887836212,13
"Talking Lightbulb","speech",7.81799887836212,13
"Terrified of Germs","speech",7.81799887836212,13
"Tertiary Sexual Characteristics","speech",7.81799887836212,13
"To Absent Friends","speech",7.81799887836212,13
"Was It Really Worth It?","speech",7.81799887836212,13
"""Well Done, Daughter"" Gal","speech",7.81799887836212,13
"Watching the Sunset","speech",7.81799887836212,13
"Worst. Whatever. Ever!","speech",7.81799887836212,13
"Worth It","speech",7.81799887836212,13
"You Know I'm Black, Right?","speech",7.81799887836212,13
"Kung-Fu Wizard","unite",7.8178735033138,137
"Super-Strength","hark",7.8178735033138,137
"Super-Strength","hail",7.8178735033138,137
"Super-Strength","defy",7.8178735033138,137
"Super-Strength","nigh",7.8178735033138,137
"Super-Strength","stain",7.8178735033138,137
"Super-Strength","wash",7.8178735033138,137
"Super-Strength","weave",7.8178735033138,137
"Vitriolic Best Buds","eat",7.81714038065015,319
"Yellow Eyes of Sneakiness","repair",7.81680335074281,54
"Willing Channeler","guest",7.81680335074281,54
"Willing Channeler","provide",7.81680335074281,54
"Kavorka Man","food",7.81678699392812,66
"Charles Atlas Superpower","commemorate",7.81677709634088,162
"Charles Atlas Superpower","evening",7.81677709634088,162
"Charles Atlas Superpower","onstage",7.81677709634088,162
"Charles Atlas Superpower","perfomance",7.81677709634088,162
"She's Not My Girlfriend","you",7.81635123417852,161
"Ignored Epiphany","yet",7.81566542503065,65
"You Are in Command Now","temple",7.81537604422224,214
"Tritagonist","silly",7.81532475222128,50
"Rich in Dollars, Poor in Sense","able",7.81532475222128,50
"Head-in-the-Sand Management","flesh",7.81532475222128,50
"Body Horror","mine",7.81492423411376,356
"Battle Couple","that",7.81434749077427,260
"Knight Templar","into",7.81397635129382,238
"Noodle Incident","mean",7.81384004953133,197
"Middle-Management Mook","X",7.81354057061144,15
"Sesquipedalian Loquaciousness","scion",7.81349694559079,35
"Spin Attack","sorceress",7.81349694559079,35
"Spin Attack","closely",7.81349694559079,35
"Yes-Man","disappoint",7.81349694559079,35
"Creator's Apathy","disappoint",7.81349694559079,35
"Darwinist Desire","disappoint",7.81349694559079,35
"Desecrating the Dead","disappoint",7.81349694559079,35
"Enigmatic Minion","disappoint",7.81349694559079,35
"Evil Sounds Raspy","disappoint",7.81349694559079,35
"Fish out of Water","disappoint",7.81349694559079,35
"Gruesome Grandparent","disappoint",7.81349694559079,35
"Mask of Sanity","disappoint",7.81349694559079,35
"Medical Rape and Impregnate","disappoint",7.81349694559079,35
"Number of the Beast","disappoint",7.81349694559079,35
"Opaque Lenses","disappoint",7.81349694559079,35
"Paid Harem","disappoint",7.81349694559079,35
"Talking to Themself","disappoint",7.81349694559079,35
"Villainous Cheekbones","disappoint",7.81349694559079,35
"You Remind Me of X","ye",7.81346873935329,51
"Recurring Traveller","ye",7.81346873935329,51
"Slave to PR","important",7.81346873935329,51
"Everyone Calls Him ""Barkeep""","sort",7.81341747974864,105
"It Will Never Catch On","sweet",7.81341747974864,105
"Know-Nothing Know-It-All","sweet",7.81341747974864,105
"Mister Big","sweet",7.81341747974864,105
"Recurring Character","sweet",7.81341747974864,105
"Improbable Hairstyle","wise",7.81341525871282,119
"She's Not My Girlfriend","enough",7.81316504224294,161
"Leotard of Power","cecil",7.81309649765241,52
"Tank-Top Tomboy","nope",7.81309649765241,52
"Welcome Back, Traitor","nope",7.81309649765241,52
"Freudian Excuse","nod",7.81261247114238,282
"Badass Bookworm","find",7.81243305901373,343
"Badass Bookworm","speak",7.81243305901373,343
"Weapon Specialization","rescue",7.8123035753571,114
"Broken Pedestal","savage",7.81208381194888,233
"Broken Pedestal","sole",7.81208381194888,233
"Broken Pedestal","forlorn",7.81208381194888,233
"Broken Pedestal","weeping",7.81208381194888,233
"Broken Pedestal","fearlessly",7.81208381194888,233
"Broken Pedestal","inescapable",7.81208381194888,233
"Broken Pedestal","unstaine",7.81208381194888,233
"Tattoo as Character Type","fleeting",7.81158001849866,80
"Tattoo as Character Type","verse",7.81158001849866,80
"Tattoo as Character Type","southern",7.81158001849866,80
"Tattoo as Character Type","onze",7.81158001849866,80
"Tattoo as Character Type","resist",7.81158001849866,80
"Morality Chain","determination",7.81158001849866,80
"Morality Chain","ally",7.81158001849866,80
"Morality Chain","vengeful",7.81158001849866,80
"Morality Chain","wrath",7.81158001849866,80
"Handsome Lech","both",7.81054152640888,31
"Arbitrary Skepticism","close",7.81054152640888,31
"Living Battery","son",7.81054152640888,31
"Blasting It Out of Their Hands","turn",7.81054152640888,31
"Duel to the Death","turn",7.81054152640888,31
"Ten Paces and Turn","turn",7.81054152640888,31
"Walking the Earth","dear",7.81048500849819,173
"Walking the Earth","harm",7.81048500849819,173
"Character Catchphrase","confess",7.81048500849819,173
"Character Catchphrase","sanctuary",7.81048500849819,173
"Character Catchphrase","perilous",7.81048500849819,173
"Character Catchphrase","siege",7.81048500849819,173
"Ascended Demon","fare",7.81016148318422,36
"Delightful Dragon","fare",7.81016148318422,36
"The Fettered","fare",7.81016148318422,36
"Reluctant Psycho","fare",7.81016148318422,36
"The Slow Path","fare",7.81016148318422,36
"Strawman Has a Point","fare",7.81016148318422,36
"Visual Pun","fare",7.81016148318422,36
"Wants a Prize for Basic Decency","fare",7.81016148318422,36
"Say My Name","ring",7.80980550741131,29
"Karma Houdini Warranty","lad",7.80976122616848,185
"Five-Finger Discount","crawly",7.80861266128016,88
"Five-Finger Discount","weakness",7.80861266128016,88
"Disappears into Light","renew",7.80861266128016,88
"Disappears into Light","fervor",7.80861266128016,88
"Disappears into Light","deliverance",7.80861266128016,88
"Disappears into Light","sow",7.80861266128016,88
"Disappears into Light","crush",7.80861266128016,88
"Bounty Hunter","counter",7.80852082214976,358
"Bounty Hunter","enlist",7.80852082214976,358
"Bounty Hunter","seasoned",7.80852082214976,358
"Didn't Think This Through","greeting",7.80852082214976,358
"Didn't Think This Through","salutation",7.80852082214976,358
"Didn't Think This Through","slay",7.80852082214976,358
"Didn't Think This Through","swarm",7.80852082214976,358
"Didn't Think This Through","midge",7.80852082214976,358
"Didn't Think This Through","sincere",7.80852082214976,358
"Didn't Think This Through","assistance",7.80852082214976,358
"Didn't Think This Through","greatly",7.80852082214976,358
"Didn't Think This Through","appreciate",7.80852082214976,358
"The Paragon","steal",7.80827368717306,59
"Put on a Bus","consider",7.80789436502049,413
"Universally Beloved Leader","favorite",7.80756891286934,316
"Universally Beloved Leader","flower",7.80756891286934,316
"Universally Beloved Leader","pity",7.80756891286934,316
"Universally Beloved Leader","absurd",7.80756891286934,316
"Universally Beloved Leader","thrall",7.80756891286934,316
"Universally Beloved Leader","draconian",7.80756891286934,316
"Universally Beloved Leader","rosary",7.80756891286934,316
"Universally Beloved Leader","possession",7.80756891286934,316
"Universally Beloved Leader","heresy",7.80756891286934,316
"Universally Beloved Leader","utmost",7.80756891286934,316
"Universally Beloved Leader","innocence",7.80756891286934,316
"Universally Beloved Leader","inquisitor",7.80756891286934,316
"Universally Beloved Leader","harbor",7.80756891286934,316
"Universally Beloved Leader","slight",7.80756891286934,316
"Universally Beloved Leader","add",7.80756891286934,316
"Universally Beloved Leader","weight",7.80756891286934,316
"Universally Beloved Leader","incessant",7.80756891286934,316
"Universally Beloved Leader","accusation",7.80756891286934,316
"Universally Beloved Leader","plot",7.80756891286934,316
"Universally Beloved Leader","risk",7.80756891286934,316
"Universally Beloved Leader","recompense",7.80756891286934,316
"Universally Beloved Leader","airship",7.80756891286934,316
"Universally Beloved Leader","prolong",7.80756891286934,316
"Universally Beloved Leader","quarry",7.80756891286934,316
"Universally Beloved Leader","garrison",7.80756891286934,316
"Universally Beloved Leader","letter",7.80756891286934,316
"Universally Beloved Leader","introduction",7.80756891286934,316
"Universally Beloved Leader","receptive",7.80756891286934,316
"Wide-Eyed Idealist","proper",7.80749351879432,131
"You Can't Fight Fate","well",7.8073952719615,109
"Hulk Speak","cut",7.80715311676327,68
"Not-So-Well-Intentioned Extremist","crystal",7.80608186236146,43
"One-Handed Zweihänder","recall",7.80601428257806,125
"Boss Banter","silence",7.80601428257806,125
"Boss Banter","royalty",7.80601428257806,125
"Boss Banter","lowborn",7.80601428257806,125
"Boss Banter","thug",7.80601428257806,125
"Compressed Hair","then",7.80566427883712,63
"Screw This, I'm Outta Here","beyond",7.80546816568879,364
"Japanese Mythology","full",7.80539250762917,19
"The Stool Pigeon","full",7.80539250762917,19
"Funny Background Event","thus",7.80462401358871,33
"Tag Along Kid","thus",7.80462401358871,33
"Heel–Face Turn","will",7.80456165013835,537
"Hold the Line","team",7.80428298636538,20
"Proud Beauty","team",7.80428298636538,20
"Chippendales Dancers","honor",7.80354984289028,18
"Suicide Mission","job",7.80349311773602,46
"The Paranoiac","job",7.80349311773602,46
"Illegal Religion","bone",7.8034503798359,78
"Spikes of Villainy","puny",7.8034503798359,78
"Spikes of Villainy","four",7.8034503798359,78
"Spikes of Villainy","X2000",7.8034503798359,78
"""Not So Different"" Remark","yet",7.80301190704756,613
"Miles Gloriosus","us",7.80282460397394,60
"The Emperor","at",7.80252911757856,153
"Awesome, but Impractical","after",7.80147475356411,137
"What the Hell, Hero?","hero",7.80074784393184,651
"Kick the Dog","release",7.80062734564687,323
"Non-Standard Character Design","artisan",7.80048691090173,98
"Creepy Good","artisan",7.80048691090173,98
"Lampshade Hanging","really",7.79986976216172,16
"Peace Conference","we",7.79941760808858,25
"Screaming Warrior","we",7.79941760808858,25
"Significant White Hair, Dark Skin","we",7.79941760808858,25
"Telescoping Staff","we",7.79941760808858,25
"Witch Hunt","talent",7.79904766063894,62
"Dead Person Impersonation","imperial",7.79904766063894,62
"Magic Music","lend",7.79904766063894,62
"Third-Person Person","it.",7.79904112973924,174
"Third-Person Person","marvelous",7.79904112973924,174
"Third-Person Person","angry",7.79904112973924,174
"Third-Person Person","kaput",7.79904112973924,174
"Easily Forgiven","one",7.79897328230393,97
"You're Insane!","trap",7.79865653977094,83
"You're Insane!","adventurer",7.79865653977094,83
"You're Insane!","oughtta",7.79865653977094,83
"You Have Outlived Your Usefulness","beware",7.7981174539073,257
"Praetorian Guard","advise",7.7981174539073,257
"Praetorian Guard","stationmaster",7.7981174539073,257
"Praetorian Guard","empty",7.7981174539073,257
"Praetorian Guard","solitude",7.7981174539073,257
"Praetorian Guard","twelve",7.7981174539073,257
"Praetorian Guard","plenty",7.7981174539073,257
"Praetorian Guard","sweat",7.7981174539073,257
"Praetorian Guard","brow",7.7981174539073,257
"Praetorian Guard","grandeur",7.7981174539073,257
"Praetorian Guard","majesty",7.7981174539073,257
"Praetorian Guard","railway",7.7981174539073,257
"Praetorian Guard","noble",7.7981174539073,257
"Praetorian Guard","wound",7.7981174539073,257
"Praetorian Guard","deep",7.7981174539073,257
"Praetorian Guard","isolated",7.7981174539073,257
"Praetorian Guard","relief",7.7981174539073,257
"Praetorian Guard","fact",7.7981174539073,257
"Praetorian Guard","dire",7.7981174539073,257
"Breakout Character","I",7.79782640853258,364
"Aesop Amnesia","shine",7.79690841812551,24
"Char Clone","shine",7.79690841812551,24
"Greater-Scope Paragon","await",7.79690841812551,24
"Last Episode, New Character","await",7.79690841812551,24
"Treacherous Advisor","await",7.79690841812551,24
"War God","await",7.79690841812551,24
"Worf Barrage","await",7.79690841812551,24
"Good Hair, Evil Hair","past",7.79690841812551,24
"Art Evolution","past",7.79690841812551,24
"Playing with Fire","one",7.79685333172383,425
"Avenging the Villain","flame",7.79682849770102,72
"Upper-Class Twit","involve",7.7968012526103,120
"The High Queen","although",7.7968012526103,120
"The High Queen","position",7.7968012526103,120
"The High Queen","grave",7.7968012526103,120
"The High Queen","chirurgeon",7.7968012526103,120
"Badass Family","the",7.79630069782404,175
"General Ripper","the",7.7961329402685,114
"Great Escape","PROPN",7.79610358921146,33
"Friendship Moment","often",7.79609122730217,74
"Gagging on Your Words","often",7.79609122730217,74
"Laughing at Your Own Jokes","often",7.79609122730217,74
"Lovable Coward","often",7.79609122730217,74
"Gadgeteer Genius","yay",7.7960732817132,146
"Voice for the Voiceless","destiny",7.7960732817132,146
"Hopeless Suitor","yay",7.7960732817132,146
"Suicidal Overconfidence","strength",7.79557844779112,101
"Batman Can Breathe in Space","strength",7.79557844779112,101
"Attack Animal","run",7.795429932811,28
"Driven to Villainy","squall",7.79502642546112,47
"Driven to Villainy","yoursefl",7.79502642546112,47
"Hand Blast","squall",7.79502642546112,47
"Hand Blast","yoursefl",7.79502642546112,47
"Signature Laugh","arrangement",7.79502642546112,47
"Signature Laugh","create",7.79502642546112,47
"Signature Laugh","equitable",7.79502642546112,47
"Signature Laugh","relationship",7.79502642546112,47
"Signature Laugh","generate",7.79502642546112,47
"Signature Laugh","revenue",7.79502642546112,47
"Signature Laugh","approval",7.79502642546112,47
"Signature Laugh","subject",7.79502642546112,47
"The Only One Allowed to Defeat You","quick",7.79468310608507,34
"Super-Scream","hall",7.79460074301796,102
"Politically Incorrect Villain","pleasure",7.7945991832765,106
"Last Girl Wins","um",7.79451027581862,124
"Uptight Loves Wild","um",7.79451027581862,124
"Good Old Ways","trust",7.79395290100171,32
"Fearless Fool","hero",7.79246250440289,44
"I Own This Town","answer",7.79246250440289,44
"Cat Girl","follow",7.79246250440289,44
"Forgotten Fallen Friend","mull",7.7923956812337,132
"Forgotten Fallen Friend","implication",7.7923956812337,132
"Forgotten Fallen Friend","freezing",7.7923956812337,132
"Forgotten Fallen Friend","cold",7.7923956812337,132
"Forgotten Fallen Friend","sick",7.7923956812337,132
"Forgotten Fallen Friend","delighted",7.7923956812337,132
"Forgotten Fallen Friend","hale",7.7923956812337,132
"Forgotten Fallen Friend","healthy",7.7923956812337,132
"Forgotten Fallen Friend","blurred",7.7923956812337,132
"Asian and Nerdy","will",7.7922619350721,9
"Funetik Aksent","will",7.7922619350721,9
"Muggle with a Degree in Magic","will",7.7922619350721,9
"The Cameo","hmmm",7.79194788182475,361
"The Cameo","mere",7.79194788182475,361
"The Cameo","coincidence",7.79194788182475,361
"The Cameo","track",7.79194788182475,361
"The Cameo","forest",7.79194788182475,361
"The Cameo","gridanian",7.79194788182475,361
"The Cameo","greeting",7.79194788182475,361
"The Cameo","salutation",7.79194788182475,361
"The Cameo","slay",7.79194788182475,361
"The Cameo","swarm",7.79194788182475,361
"The Cameo","midge",7.79194788182475,361
"The Cameo","sincere",7.79194788182475,361
"The Cameo","assistance",7.79194788182475,361
"The Cameo","greatly",7.79194788182475,361
"The Cameo","appreciate",7.79194788182475,361
"Climax Boss","foolish",7.79159865376027,285
"Climax Boss","trash",7.79159865376027,285
"Single Tear","gawp",7.79134150457871,57
"Single Tear","whine",7.79134150457871,57
"Single Tear","underfed",7.79134150457871,57
"Single Tear","dog",7.79134150457871,57
"Single Tear","People",7.79134150457871,57
"Samurai Ponytail","debt",7.79134150457871,57
"Black Knight","lot",7.79134150457871,57
"Black Knight","fiend",7.79134150457871,57
"Why Don't You Just Shoot Him?","sense",7.79130219433399,95
"Everything's Deader with Zombies","down",7.79031660170913,18
"The Napoleon","down",7.79031660170913,18
"Reviving Enemy","down",7.79031660170913,18
"See You in Hell","down",7.79031660170913,18
"Un-Evil Laugh","down",7.79031660170913,18
"Apologetic Attacker","suppose",7.79026665953499,42
"Gunship Rescue","count",7.79026665953499,42
"Boss-Altering Consequence","finish",7.79026665953499,42
"Barbaric Battleaxe","heh",7.79020906798122,86
"Barbaric Battleaxe","generally",7.79020906798122,86
"Barbaric Battleaxe","army",7.79020906798122,86
"Barbaric Battleaxe","legionnaire",7.79020906798122,86
"Barbaric Battleaxe","serious",7.79020906798122,86
"Barbaric Battleaxe","disciplined",7.79020906798122,86
"Barbaric Battleaxe","creative",7.79020906798122,86
"Nemean Skinning","heh",7.79020906798122,86
"Nemean Skinning","generally",7.79020906798122,86
"Nemean Skinning","army",7.79020906798122,86
"Nemean Skinning","legionnaire",7.79020906798122,86
"Nemean Skinning","serious",7.79020906798122,86
"Nemean Skinning","disciplined",7.79020906798122,86
"Nemean Skinning","creative",7.79020906798122,86
"Mission Control","assist",7.79020906798122,86
"Wizard Beard","opinion",7.79019487059685,126
"Baby Don't Got Back","hello",7.79019487059685,126
"Tragic Villain","eater",7.79004019109566,332
"Fantastic Drug","remember",7.78957935962047,20
"Fetch Quest","remember",7.78957935962047,20
"Not Cheating Unless You Get Caught","remember",7.78957935962047,20
"Sabotage to Discredit","remember",7.78957935962047,20
"An Ice Suit","mayhap",7.78846113781274,29
"Ghostly Goals","twisted",7.78841157196883,187
"Like a Son to Me","know",7.78812000289459,71
"Laser-Guided Karma","smile",7.78773386425067,217
"First-Name Basis","rein",7.78772506858573,31
"Call to Agriculture","name",7.78772506858573,31
"Defrosting Ice Queen","beard",7.78697030435079,201
"Defrosting Ice Queen","tinker",7.78697030435079,201
"Defrosting Ice Queen","week",7.78697030435079,201
"Defrosting Ice Queen","bomb",7.78697030435079,201
"Defrosting Ice Queen","touch",7.78697030435079,201
"Defrosting Ice Queen","volatile",7.78697030435079,201
"Defrosting Ice Queen","lighthouse",7.78697030435079,201
"Defrosting Ice Queen","special",7.78697030435079,201
"Defrosting Ice Queen","attention",7.78697030435079,201
"Defrosting Ice Queen","reinforce",7.78697030435079,201
"Defrosting Ice Queen","casing",7.78697030435079,201
"Familiar","happy",7.7869339213217,67
"Florence Nightingale Effect","moon",7.78691869841219,81
"Parental Abandonment","portrait",7.78654410438303,92
"Parental Abandonment","canva",7.78654410438303,92
"Parental Abandonment","opposite",7.78654410438303,92
"Parental Abandonment","effect",7.78654410438303,92
"Non-Action Guy","upset",7.78645437623606,362
"Walking the Earth","he",7.78588394734089,173
"Manly Man","hungry",7.78549624180589,218
"Unwitting Pawn","world",7.78495817472952,556
"Adaptational Angst Upgrade","nose",7.78369441319604,36
"Hates Being Touched","nose",7.78369441319604,36
"Calling Your Attacks","outside",7.7826310965541,21
"Rage Against the Heavens","outside",7.7826310965541,21
"Barred from the Afterlife","scene",7.78257584008399,49
"Barred from the Afterlife","bitter",7.78257584008399,49
"Barred from the Afterlife","wage",7.78257584008399,49
"Royal Blood","serenity",7.78251635489617,111
"Rewarded as a Traitor Deserves","uhh",7.78251635489617,111
"Collared by Fashion","road",7.78041685227981,33
"Invisibility","road",7.78041685227981,33
"The Lightfooted","road",7.78041685227981,33
"Knee Capping","road",7.78041685227981,33
"Naked on Arrival","road",7.78041685227981,33
"Scenery Censor","road",7.78041685227981,33
"Un-Sorcerer","road",7.78041685227981,33
"Creepy Long Fingers","permit",7.78041685227981,33
"Evil Sorceress","permit",7.78041685227981,33
"Sensible Heroes, Skimpy Villains","permit",7.78041685227981,33
"The Usurper","permit",7.78041685227981,33
"Insists on Paying","piece",7.78039422938699,45
"Depending on the Artist","beginning",7.78034610972073,165
"Embarrassing Nickname","trial",7.78033249179626,99
"Embarrassing Nickname","tall",7.78033249179626,99
"Half the Man He Used to Be","birthright",7.78033249179626,99
"Suspiciously Specific Denial","artisan",7.78033249179626,99
"Sheltered Aristocrat","grave",7.78032614056044,121
"Sheltered Aristocrat","chirurgeon",7.78032614056044,121
"A Pupil of Mine Until He Turned to Evil","krosis",7.78032614056044,121
"A Pupil of Mine Until He Turned to Evil","saraan",7.78032614056044,121
"Desperately Looking for a Purpose in Life","involve",7.78032614056044,121
"Master of Illusion","friend",7.78019515182052,151
"Shoryuken","that",7.7800576323705,7
"Endearingly Dorky","if.",7.7799213899655,33
"We Used to Be Friends","she",7.77845473329735,300
"The Cutie","again",7.77829625252019,111
"Accidental Hero","today",7.77825221960682,23
"Villainous Friendship","lightly",7.7781616144079,79
